,CO [mg.m-3],Mesto,NO [ug.m-3],NO2 [ug.m-3],NOX [ug.m-3],O3 [ug.m-3],P [mb],PM1 [ug.m-3],PM10 [ug.m-3],PM2.5 [ug.m-3],Rh [%],SO2 [ug.m-3],Unnamed: 0,V [m/s],Vreme,dd [°],t [°C],Mesto_Beograd,Mesto_Kragujevac,Mesto_Nis,Mesto_Novi Sad,Mesto_Sabac,Mesto_Uzice
940,0.36,Beograd,6.24,17.22,26.72,26.36,996.61,34.37,44.54,37.37,60.86,,221.0,1.37,2019-11-12 22:00:00,226.48,19.5,1,0,0,0,0,0
941,0.33,Beograd,4.82,13.42,20.79,27.37,996.17,32.12,42.14,35.18,61.09,,222.0,0.96,2019-11-12 23:00:00,234.16,19.36,1,0,0,0,0,0
942,0.34,Beograd,3.68,9.96,15.6,28.78,995.61,30.35,41.06,33.78,61.47,,223.0,0.83,2019-11-13 00:00:00,239.41,19.1,1,0,0,0,0,0
943,0.32,Beograd,5.46,13.99,22.37,23.82,995.12,29.05,40.59,32.44,60.08,,224.0,0.15,2019-11-13 01:00:00,320.32,19.3,1,0,0,0,0,0
944,0.27,Beograd,3.33,7.2,12.23,28.97,995.68,18.58,26.35,21.1,62.36,,225.0,0.48,2019-11-13 02:00:00,238.66,18.62,1,0,0,0,0,0
945,0.2,Beograd,3.19,2.71,7.6,27.33,996.19,2.53,3.52,3.08,76.28,,226.0,0.83,2019-11-13 03:00:00,224.1,15.97,1,0,0,0,0,0
946,0.19,Beograd,3.32,3.27,8.4,32.33,995.75,1.13,1.89,1.65,77.4,,227.0,1.24,2019-11-13 04:00:00,230.66,15.18,1,0,0,0,0,0
947,0.2,Beograd,3.45,5.77,11.02,44.91,994.47,1.23,1.85,1.51,73.92,,228.0,1.67,2019-11-13 05:00:00,233.92,15.27,1,0,0,0,0,0
948,0.2,Beograd,3.72,6.52,12.24,42.79,994.05,1.62,2.32,2.1,75.16,,229.0,1.97,2019-11-13 06:00:00,230.77,14.97,1,0,0,0,0,0
949,0.29,Beograd,,,,24.21,994.12,9.61,12.1,10.67,78.98,,230.0,1.55,2019-11-13 07:00:00,239.6,15.3,1,0,0,0,0,0
950,0.29,Beograd,6.73,12.85,23.14,24.44,993.72,16.68,20.9,18.04,76.85,,231.0,1.37,2019-11-13 08:00:00,240.59,15.91,1,0,0,0,0,0
951,0.33,Beograd,8.33,14.84,28.03,,993.2,14.98,20.73,16.13,69.78,,232.0,1.44,2019-11-13 09:00:00,229.46,17.24,1,0,0,0,0,0
952,0.29,Beograd,5.81,13.59,22.51,53.14,992.88,5.83,11.23,6.96,57.56,,233.0,2.05,2019-11-13 10:00:00,233.58,19.72,1,0,0,0,0,0
953,0.26,Beograd,5.77,12.01,20.84,60.28,992.18,4.92,14.84,6.47,49.74,,234.0,3.36,2019-11-13 11:00:00,223.76,21.05,1,0,0,0,0,0
954,0.24,Beograd,5.19,11.68,19.66,63.19,991.63,5.32,16.76,7.14,45.6,,235.0,2.99,2019-11-13 12:00:00,229.76,21.71,1,0,0,0,0,0
955,0.25,Beograd,5.53,14.76,23.25,61.81,991.86,5.48,16.32,7.62,44.5,,236.0,3.16,2019-11-13 13:00:00,222.42,21.9,1,0,0,0,0,0
956,0.27,Beograd,5.91,16.62,25.63,59.06,992.17,5.97,17.63,8.44,44.54,,237.0,2.61,2019-11-13 14:00:00,226.12,21.98,1,0,0,0,0,0
957,0.25,Beograd,5.85,18.31,27.35,56.53,992.37,5.51,14.75,7.91,44.81,,238.0,2.49,2019-11-13 15:00:00,223.06,21.58,1,0,0,0,0,0
958,0.32,Beograd,5.5,20.18,28.64,34.06,993.32,21.25,30.91,24.18,56.0,,239.0,1.69,2019-11-13 16:00:00,227.18,19.71,1,0,0,0,0,0
959,0.35,Beograd,6.15,20.26,29.7,34.49,994.24,19.68,29.15,22.34,57.58,,240.0,2.42,2019-11-13 17:00:00,224.18,18.99,1,0,0,0,0,0
960,0.31,Beograd,5.7,19.68,28.43,39.94,995.09,15.84,25.21,18.3,54.22,,241.0,1.79,2019-11-13 18:00:00,229.7,19.13,1,0,0,0,0,0
961,0.31,Beograd,6.64,22.54,32.73,41.42,995.76,11.17,20.51,13.81,52.43,,242.0,2.2,2019-11-13 19:00:00,224.53,19.22,1,0,0,0,0,0
962,0.3,Beograd,7.22,23.96,35.06,40.33,996.73,8.89,18.87,11.76,54.06,,243.0,2.08,2019-11-13 20:00:00,224.24,19.21,1,0,0,0,0,0
963,0.31,Beograd,8.74,24.08,38.17,37.5,997.31,7.0,15.68,10.28,58.51,,244.0,1.57,2019-11-13 21:00:00,227.03,18.8,1,0,0,0,0,0
964,0.31,Beograd,8.72,27.19,41.33,33.12,997.73,7.55,17.19,10.85,55.27,,245.0,1.05,2019-11-13 22:00:00,228.98,19.35,1,0,0,0,0,0
965,0.31,Beograd,7.7,26.96,38.76,19.7,998.28,7.42,18.09,11.24,62.68,,246.0,0.33,2019-11-13 23:00:00,247.08,18.45,1,0,0,0,0,0
966,0.3,Beograd,7.53,25.92,37.45,15.47,998.82,7.24,15.16,10.87,65.62,,247.0,0.16,2019-11-14 00:00:00,281.56,18.07,1,0,0,0,0,0
967,0.29,Beograd,6.05,19.78,29.0,16.58,999.15,7.51,15.58,11.55,65.73,,248.0,0.12,2019-11-14 01:00:00,254.03,18.08,1,0,0,0,0,0
968,0.26,Beograd,4.47,10.94,17.71,21.18,999.32,6.57,14.37,9.94,68.23,,249.0,0.14,2019-11-14 02:00:00,251.56,17.59,1,0,0,0,0,0
969,0.25,Beograd,8.79,11.14,25.6,21.42,999.92,6.8,14.05,10.4,68.27,,250.0,0.39,2019-11-14 03:00:00,13.35,17.25,1,0,0,0,0,0
970,0.27,Beograd,3.95,5.86,11.83,15.61,1000.78,12.91,18.98,15.35,74.71,,251.0,0.73,2019-11-14 04:00:00,34.2,15.95,1,0,0,0,0,0
971,0.28,Beograd,3.86,4.53,10.44,8.67,1001.14,16.89,19.15,18.0,78.42,,252.0,0.99,2019-11-14 05:00:00,33.11,14.12,1,0,0,0,0,0
972,0.27,Beograd,5.38,5.89,14.15,8.72,1001.48,14.2,16.55,15.01,80.54,,253.0,0.98,2019-11-14 06:00:00,37.74,12.97,1,0,0,0,0,0
973,0.33,Beograd,9.81,9.37,24.96,6.61,1002.07,15.4,18.28,16.46,78.72,,254.0,0.78,2019-11-14 07:00:00,58.27,13.1,1,0,0,0,0,0
974,0.31,Beograd,7.0,7.83,18.47,7.21,1002.51,18.27,22.87,19.86,79.14,,255.0,0.87,2019-11-14 08:00:00,8.27,12.45,1,0,0,0,0,0
975,0.28,Beograd,7.71,7.6,19.41,7.92,1002.86,17.67,22.19,19.36,80.93,,256.0,0.92,2019-11-14 09:00:00,356.32,12.23,1,0,0,0,0,0
976,0.28,Beograd,6.46,5.89,15.75,8.28,1002.85,18.17,23.06,20.13,80.68,,257.0,0.79,2019-11-14 10:00:00,2.71,12.59,1,0,0,0,0,0
977,0.29,Beograd,9.08,8.14,22.06,7.66,1002.54,19.97,25.44,21.85,79.47,,258.0,0.73,2019-11-14 11:00:00,14.91,13.06,1,0,0,0,0,0
978,0.29,Beograd,8.25,8.01,20.67,7.54,1002.57,19.46,26.1,21.15,79.12,,259.0,0.92,2019-11-14 12:00:00,18.57,13.04,1,0,0,0,0,0
979,0.3,Beograd,7.95,7.95,20.21,8.12,1002.28,20.46,26.48,22.14,78.48,,260.0,0.76,2019-11-14 13:00:00,10.45,13.32,1,0,0,0,0,0
980,0.36,Beograd,12.18,12.05,30.69,5.76,1002.2,27.04,34.27,29.18,77.52,,261.0,0.63,2019-11-14 14:00:00,44.82,13.97,1,0,0,0,0,0
981,0.36,Beograd,11.48,12.52,30.04,4.88,1002.35,29.34,36.53,31.13,76.39,,262.0,0.59,2019-11-14 15:00:00,0.87,13.63,1,0,0,0,0,0
982,0.34,Beograd,10.71,12.13,28.56,4.51,1002.39,25.06,29.16,26.46,77.76,,263.0,0.73,2019-11-14 16:00:00,31.46,13.51,1,0,0,0,0,0
983,0.48,Beograd,14.46,14.34,36.46,2.94,1002.4,35.24,42.09,37.5,75.94,,264.0,0.68,2019-11-14 17:00:00,71.21,13.97,1,0,0,0,0,0
984,0.46,Beograd,14.71,13.97,36.7,2.58,1002.77,34.39,39.54,37.15,76.04,,265.0,0.48,2019-11-14 18:00:00,15.71,13.32,1,0,0,0,0,0
985,0.38,Beograd,8.75,9.6,23.01,3.61,1003.32,27.33,32.42,28.76,78.32,,266.0,0.46,2019-11-14 19:00:00,356.05,13.03,1,0,0,0,0,0
986,0.35,Beograd,7.54,8.66,20.18,3.86,1003.6,25.65,31.34,27.57,78.87,,267.0,0.43,2019-11-14 20:00:00,4.87,13.28,1,0,0,0,0,0
987,0.34,Beograd,7.6,8.49,20.14,4.11,1003.57,28.04,40.52,31.13,78.81,,268.0,0.46,2019-11-14 21:00:00,31.98,13.43,1,0,0,0,0,0
988,0.35,Beograd,8.29,7.94,20.6,4.09,1003.57,27.22,37.64,29.66,80.39,,269.0,0.51,2019-11-14 22:00:00,16.05,13.28,1,0,0,0,0,0
989,0.38,Beograd,8.49,9.49,22.51,3.2,1003.74,30.48,38.87,33.57,80.86,,270.0,0.11,2019-11-14 23:00:00,20.09,13.61,1,0,0,0,0,0
990,0.39,Beograd,9.68,11.2,26.13,2.69,1003.78,29.78,39.6,33.15,79.01,,271.0,0.33,2019-11-15 00:00:00,51.44,13.93,1,0,0,0,0,0
991,0.45,Beograd,14.84,14.83,37.64,1.49,1003.97,37.72,52.33,43.24,78.98,,272.0,0.24,2019-11-15 01:00:00,21.72,14.11,1,0,0,0,0,0
992,0.45,Beograd,14.15,13.74,35.35,1.25,1003.93,36.36,48.64,42.14,78.51,,273.0,0.4,2019-11-15 02:00:00,45.05,14.32,1,0,0,0,0,0
993,0.44,Beograd,10.1,13.15,28.58,2.87,1003.57,29.79,34.91,32.22,77.91,,274.0,0.29,2019-11-15 03:00:00,242.71,14.34,1,0,0,0,0,0
994,0.38,Beograd,6.52,8.36,18.28,6.12,1003.77,27.94,33.74,30.39,77.76,,275.0,0.62,2019-11-15 04:00:00,236.66,14.23,1,0,0,0,0,0
995,0.34,Beograd,5.91,7.19,16.21,7.21,1004.08,25.92,30.98,28.24,77.2,,276.0,0.46,2019-11-15 05:00:00,244.79,14.3,1,0,0,0,0,0
996,0.36,Beograd,8.04,9.7,22.07,6.13,1004.4,26.2,32.27,28.74,76.99,,277.0,0.65,2019-11-15 06:00:00,235.84,14.12,1,0,0,0,0,0
997,0.44,Beograd,15.97,15.66,40.27,4.49,1004.9,25.85,32.92,28.19,77.37,,278.0,0.64,2019-11-15 07:00:00,234.77,14.07,1,0,0,0,0,0
998,0.45,Beograd,23.56,19.77,57.71,5.74,1004.93,25.78,33.36,28.38,76.57,,279.0,0.93,2019-11-15 08:00:00,227.74,14.24,1,0,0,0,0,0
999,0.48,Beograd,30.52,23.25,71.4,7.33,1005.04,26.59,39.34,30.19,73.01,,280.0,0.6,2019-11-15 09:00:00,245.86,15.8,1,0,0,0,0,0
1000,0.52,Beograd,21.14,25.78,58.25,13.47,1005.02,23.66,39.23,26.74,62.46,,281.0,0.64,2019-11-15 10:00:00,238.53,18.53,1,0,0,0,0,0
1001,0.49,Beograd,18.03,30.61,58.98,21.01,1004.39,20.28,31.43,22.9,53.3,,282.0,0.85,2019-11-15 11:00:00,234.11,20.31,1,0,0,0,0,0
1002,0.51,Beograd,19.06,30.8,59.73,26.06,1003.9,17.96,31.06,20.99,49.86,,283.0,0.98,2019-11-15 12:00:00,229.31,20.95,1,0,0,0,0,0
1003,,Beograd,20.41,35.45,65.98,25.31,1003.86,17.39,31.15,20.11,49.51,,284.0,1.13,2019-11-15 13:00:00,227.33,20.52,1,0,0,0,0,0
1004,0.5,Beograd,21.36,47.11,79.58,17.74,1003.57,18.85,32.78,22.11,48.03,,285.0,0.94,2019-11-15 14:00:00,232.58,20.33,1,0,0,0,0,0
1005,0.51,Beograd,17.98,49.07,75.96,15.03,1003.71,19.94,38.44,23.62,47.55,,286.0,1.07,2019-11-15 15:00:00,225.12,20.08,1,0,0,0,0,0
1006,0.48,Beograd,9.98,37.29,53.42,24.31,1003.82,22.53,41.11,26.42,52.08,,287.0,1.42,2019-11-15 16:00:00,226.31,19.42,1,0,0,0,0,0
1007,0.47,Beograd,9.8,33.47,46.73,25.87,1003.75,24.81,40.86,28.44,53.67,,288.0,1.44,2019-11-15 17:00:00,229.54,19.09,1,0,0,0,0,0
1008,0.43,Beograd,10.33,27.79,43.53,21.35,1003.98,22.89,34.8,25.9,57.83,,289.0,1.48,2019-11-15 18:00:00,228.47,17.69,1,0,0,0,0,0
1009,0.39,Beograd,6.81,20.46,30.94,26.78,1004.1,20.59,31.7,23.62,61.61,,290.0,1.73,2019-11-15 19:00:00,222.37,16.97,1,0,0,0,0,0
1010,0.38,Beograd,6.75,19.76,30.05,30.07,1004.4,19.64,28.19,22.18,61.43,,291.0,2.11,2019-11-15 20:00:00,223.32,16.82,1,0,0,0,0,0
1011,0.35,Beograd,6.95,17.59,28.2,33.68,1004.84,17.5,24.43,19.85,61.64,,292.0,2.29,2019-11-15 21:00:00,222.97,16.64,1,0,0,0,0,0
1012,0.36,Beograd,6.49,16.16,26.11,33.63,1005.36,16.89,23.86,18.96,61.46,,293.0,2.05,2019-11-15 22:00:00,224.08,16.7,1,0,0,0,0,0
1013,0.31,Beograd,5.42,14.42,22.72,35.38,1005.82,14.66,21.3,16.74,61.56,,294.0,1.92,2019-11-15 23:00:00,222.85,16.85,1,0,0,0,0,0
1014,0.3,Beograd,5.48,13.54,21.97,35.74,1006.17,13.09,19.45,15.49,61.81,,295.0,2.11,2019-11-16 00:00:00,220.95,16.93,1,0,0,0,0,0
1015,0.27,Beograd,3.94,9.89,15.88,39.78,1006.01,11.85,17.74,14.05,61.35,,296.0,1.86,2019-11-16 01:00:00,223.1,16.97,1,0,0,0,0,0
1016,0.27,Beograd,3.75,8.58,14.36,39.77,1006.23,11.04,17.74,13.51,61.43,,297.0,1.63,2019-11-16 02:00:00,225.27,16.8,1,0,0,0,0,0
1017,0.25,Beograd,3.21,8.02,12.67,41.19,1006.22,10.15,16.41,12.14,60.4,,298.0,1.39,2019-11-16 03:00:00,229.78,16.97,1,0,0,0,0,0
1018,0.23,Beograd,2.84,6.78,11.14,44.16,1006.29,9.33,15.21,11.34,60.24,,299.0,2.51,2019-11-16 04:00:00,221.88,16.82,1,0,0,0,0,0
1019,0.24,Beograd,2.79,7.32,11.6,43.41,1006.61,9.47,14.51,11.38,60.75,,300.0,2.55,2019-11-16 05:00:00,220.7,16.66,1,0,0,0,0,0
1020,0.24,Beograd,5.18,11.16,19.08,39.22,1007.14,9.55,14.62,11.36,61.02,,301.0,2.35,2019-11-16 06:00:00,220.07,16.65,1,0,0,0,0,0
1021,0.25,Beograd,4.12,14.18,20.54,37.01,1007.75,8.96,15.62,11.11,60.31,,302.0,2.53,2019-11-16 07:00:00,221.18,16.78,1,0,0,0,0,0
1022,0.28,Beograd,5.91,17.56,26.68,36.75,1008.14,8.61,19.9,11.0,57.14,,303.0,1.65,2019-11-16 08:00:00,227.44,17.62,1,0,0,0,0,0
1023,0.29,Beograd,,,,36.08,1008.23,9.28,19.65,11.81,55.23,,304.0,1.75,2019-11-16 09:00:00,226.88,18.15,1,0,0,0,0,0
1024,0.35,Beograd,8.54,23.99,37.18,32.5,1008.24,10.44,20.17,13.21,54.32,,305.0,1.75,2019-11-16 10:00:00,223.5,18.56,1,0,0,0,0,0
1025,0.38,Beograd,19.33,30.33,59.67,,1007.81,11.09,28.29,14.57,52.06,,306.0,1.62,2019-11-16 11:00:00,222.41,19.38,1,0,0,0,0,0
1026,0.36,Beograd,21.99,35.59,71.48,31.01,1007.64,11.23,33.01,15.73,50.37,,307.0,1.8,2019-11-16 12:00:00,224.2,19.92,1,0,0,0,0,0
1027,0.38,Beograd,16.11,36.32,61.09,28.12,1007.56,12.19,35.62,16.55,50.07,,308.0,1.62,2019-11-16 13:00:00,224.41,20.19,1,0,0,0,0,0
1028,0.4,Beograd,13.43,35.58,56.1,,1007.67,14.68,29.27,18.49,50.89,,309.0,1.65,2019-11-16 14:00:00,223.11,20.25,1,0,0,0,0,0
1029,0.39,Beograd,11.58,30.14,47.83,,1007.44,15.63,28.01,18.63,51.94,,310.0,2.11,2019-11-16 15:00:00,222.45,19.77,1,0,0,0,0,0
1030,0.38,Beograd,8.77,26.01,39.41,,1007.35,18.96,31.92,22.08,54.13,,311.0,2.07,2019-11-16 16:00:00,224.17,19.01,1,0,0,0,0,0
1031,0.39,Beograd,7.46,24.28,35.73,,1007.55,20.29,27.44,22.39,56.01,,312.0,2.32,2019-11-16 17:00:00,223.15,18.38,1,0,0,0,0,0
1032,0.4,Beograd,7.48,23.3,34.79,,1007.44,21.13,27.29,23.11,57.12,,313.0,2.16,2019-11-16 18:00:00,220.91,17.91,1,0,0,0,0,0
1033,0.43,Beograd,10.41,24.49,40.51,,1007.59,22.75,28.49,24.62,60.08,,314.0,2.28,2019-11-16 19:00:00,222.93,16.9,1,0,0,0,0,0
1034,0.44,Beograd,8.4,21.37,33.7,,1007.85,23.58,29.05,25.72,62.29,,315.0,2.11,2019-11-16 20:00:00,227.86,16.19,1,0,0,0,0,0
1035,0.46,Beograd,9.1,19.75,33.65,,1007.8,22.56,29.23,24.46,63.76,,316.0,1.95,2019-11-16 21:00:00,224.97,15.84,1,0,0,0,0,0
1036,0.4,Beograd,7.47,16.81,28.11,,1007.72,20.11,25.49,22.16,63.48,,317.0,1.59,2019-11-16 22:00:00,229.02,15.96,1,0,0,0,0,0
1037,0.36,Beograd,5.17,13.76,21.67,1.79,1007.93,17.84,22.73,19.34,62.6,,318.0,1.79,2019-11-16 23:00:00,230.38,16.07,1,0,0,0,0,0
1038,0.34,Beograd,5.0,12.27,19.87,1.66,1007.74,16.63,21.56,18.28,63.81,,319.0,2.15,2019-11-17 00:00:00,226.77,15.66,1,0,0,0,0,0
1039,0.32,Beograd,4.59,8.79,15.81,0.98,1007.73,15.61,19.74,17.01,65.8,,320.0,2.27,2019-11-17 01:00:00,226.29,14.96,1,0,0,0,0,0
1040,0.39,Beograd,3.34,6.96,12.1,1.12,1007.61,15.54,20.82,17.38,68.48,,321.0,1.81,2019-11-17 02:00:00,226.16,14.42,1,0,0,0,0,0
1041,0.32,Beograd,3.14,5.94,10.73,0.78,1007.28,13.72,17.17,15.0,70.1,,322.0,2.59,2019-11-17 03:00:00,222.87,14.1,1,0,0,0,0,0
1042,0.26,Beograd,3.18,5.48,10.34,0.52,1007.11,11.35,14.16,12.55,70.45,,323.0,2.77,2019-11-17 04:00:00,225.38,14.01,1,0,0,0,0,0
1043,0.25,Beograd,2.91,5.3,9.75,0.5,1007.15,10.22,11.88,11.01,70.42,,324.0,2.9,2019-11-17 05:00:00,220.14,13.87,1,0,0,0,0,0
1044,0.26,Beograd,3.1,5.58,10.34,0.65,1007.11,9.36,11.58,10.05,69.33,,325.0,2.65,2019-11-17 06:00:00,223.83,13.8,1,0,0,0,0,0
1045,0.27,Beograd,3.35,6.28,11.42,0.52,1007.17,9.1,11.3,9.72,69.71,,326.0,3.13,2019-11-17 07:00:00,219.12,13.69,1,0,0,0,0,0
1046,0.29,Beograd,4.26,7.88,14.38,0.83,1007.52,9.43,11.62,10.39,68.11,,327.0,2.61,2019-11-17 08:00:00,221.4,14.26,1,0,0,0,0,0
1047,0.28,Beograd,4.71,8.13,15.78,1.43,1007.28,9.41,11.51,10.24,64.76,,328.0,2.92,2019-11-17 09:00:00,222.26,15.03,1,0,0,0,0,0
1048,0.32,Beograd,6.5,11.55,21.49,1.57,1006.79,10.06,13.08,11.04,60.77,,329.0,2.5,2019-11-17 10:00:00,222.25,16.48,1,0,0,0,0,0
1049,0.3,Beograd,6.57,13.1,23.24,0.89,1006.29,8.24,12.57,9.18,54.41,,330.0,2.36,2019-11-17 11:00:00,222.12,18.15,1,0,0,0,0,0
1050,0.32,Beograd,5.05,10.99,18.7,0.5,1005.93,9.92,17.44,11.44,54.24,,331.0,1.44,2019-11-17 12:00:00,236.67,17.91,1,0,0,0,0,0
1051,0.35,Beograd,5.89,12.45,21.51,0.5,1005.65,10.65,22.65,12.37,56.32,,332.0,2.08,2019-11-17 13:00:00,227.07,17.34,1,0,0,0,0,0
1052,0.35,Beograd,5.64,13.07,21.71,0.5,1005.36,10.08,17.34,11.64,56.44,,333.0,2.26,2019-11-17 14:00:00,228.67,16.76,1,0,0,0,0,0
1053,0.35,Beograd,5.31,12.71,20.9,,1004.84,10.19,19.38,12.03,59.08,,334.0,2.4,2019-11-17 15:00:00,226.33,15.98,1,0,0,0,0,0
1054,0.38,Beograd,5.53,14.2,22.64,,1004.74,13.27,21.04,14.92,62.75,,335.0,2.84,2019-11-17 16:00:00,224.68,15.44,1,0,0,0,0,0
1055,0.31,Beograd,5.12,12.69,20.53,0.5,1004.67,12.2,15.98,12.89,65.35,,336.0,2.76,2019-11-17 17:00:00,222.73,15.1,1,0,0,0,0,0
1056,0.32,Beograd,5.58,14.14,22.68,0.5,1004.78,12.76,17.3,13.74,65.8,,337.0,1.97,2019-11-17 18:00:00,230.25,15.31,1,0,0,0,0,0
1057,0.31,Beograd,4.94,12.76,20.29,,1004.31,10.03,13.59,10.99,65.69,,338.0,2.44,2019-11-17 19:00:00,226.33,15.49,1,0,0,0,0,0
1058,0.3,Beograd,5.3,12.73,20.85,,1004.07,10.0,12.95,11.07,66.26,,339.0,2.85,2019-11-17 20:00:00,221.47,15.46,1,0,0,0,0,0
1059,0.29,Beograd,4.41,9.92,16.71,,1003.81,10.74,13.21,11.81,66.87,,340.0,2.51,2019-11-17 21:00:00,223.74,15.53,1,0,0,0,0,0
1060,0.3,Beograd,4.29,9.39,15.97,,1003.61,11.87,14.69,13.63,68.1,,341.0,2.95,2019-11-17 22:00:00,220.55,15.33,1,0,0,0,0,0
1061,0.28,Beograd,3.86,7.67,13.53,,1003.41,11.92,14.75,13.03,68.82,,342.0,2.95,2019-11-17 23:00:00,222.54,15.28,1,0,0,0,0,0
1062,0.27,Beograd,2.82,5.34,9.61,,1003.16,12.26,14.18,13.34,69.77,,343.0,2.58,2019-11-18 00:00:00,219.36,15.2,1,0,0,0,0,0
1063,0.26,Beograd,2.61,3.75,7.75,,1002.97,12.64,14.72,13.64,69.21,,344.0,2.66,2019-11-18 01:00:00,220.85,15.26,1,0,0,0,0,0
1064,0.25,Beograd,3.3,3.6,8.64,,1002.62,12.32,14.56,13.17,68.19,,345.0,2.58,2019-11-18 02:00:00,222.81,15.48,1,0,0,0,0,0
1065,0.25,Beograd,2.64,3.73,7.81,,1002.59,12.44,14.2,13.26,67.19,,346.0,2.16,2019-11-18 03:00:00,224.79,15.67,1,0,0,0,0,0
1066,0.25,Beograd,2.52,3.87,7.72,,1002.42,11.99,13.81,12.89,66.99,,347.0,1.04,2019-11-18 04:00:00,243.11,15.78,1,0,0,0,0,0
1067,0.25,Beograd,3.2,7.14,12.06,,1002.23,11.04,13.11,11.83,66.84,,348.0,1.53,2019-11-18 05:00:00,225.73,15.69,1,0,0,0,0,0
1068,0.29,Beograd,3.67,9.16,14.72,0.5,1002.87,9.93,11.51,10.55,67.61,,349.0,2.43,2019-11-18 06:00:00,224.14,15.63,1,0,0,0,0,0
1069,0.36,Beograd,8.64,18.53,31.21,1.44,1003.51,10.67,13.45,11.68,66.23,,350.0,2.14,2019-11-18 07:00:00,223.01,15.93,1,0,0,0,0,0
1070,0.37,Beograd,9.26,20.32,34.55,1.44,1004.54,11.51,16.6,12.38,64.68,,351.0,2.06,2019-11-18 08:00:00,223.91,16.36,1,0,0,0,0,0
1071,0.4,Beograd,12.91,25.46,45.22,1.92,1005.5,14.34,20.93,15.71,63.17,,352.0,1.97,2019-11-18 09:00:00,223.4,17.01,1,0,0,0,0,0
1072,0.4,Beograd,14.28,28.51,50.04,1.45,1006.07,16.09,28.53,18.08,59.82,,353.0,1.73,2019-11-18 10:00:00,224.63,18.12,1,0,0,0,0,0
1073,0.44,Beograd,19.08,32.62,61.12,1.55,1006.33,16.98,30.01,19.14,55.98,,354.0,1.31,2019-11-18 11:00:00,227.38,19.31,1,0,0,0,0,0
1074,0.37,Beograd,15.64,35.46,59.32,,1006.75,8.32,22.88,10.72,41.43,,355.0,0.69,2019-11-18 12:00:00,225.99,21.9,1,0,0,0,0,0
1075,0.29,Beograd,4.98,13.41,20.75,,1007.56,9.83,23.87,11.53,46.3,,356.0,1.28,2019-11-18 13:00:00,13.96,20.01,1,0,0,0,0,0
1076,,Beograd,4.23,13.96,20.47,,1008.12,4.36,12.61,5.73,43.15,,357.0,0.96,2019-11-18 14:00:00,14.19,19.73,1,0,0,0,0,0
1077,0.32,Beograd,5.45,27.26,35.87,7.74,1008.49,7.08,26.99,9.73,42.61,,358.0,0.39,2019-11-18 15:00:00,16.86,19.74,1,0,0,0,0,0
1078,0.5,Beograd,13.45,52.47,73.32,19.78,1009.19,16.02,36.59,18.8,42.92,,359.0,0.46,2019-11-18 16:00:00,70.57,19.66,1,0,0,0,0,0
1079,0.59,Beograd,26.84,50.06,91.19,6.47,1009.81,34.16,63.82,39.17,51.69,,360.0,0.24,2019-11-18 17:00:00,33.7,17.96,1,0,0,0,0,0
1080,0.48,Beograd,12.9,33.85,53.28,10.81,1010.16,30.22,40.55,32.78,60.45,,361.0,0.37,2019-11-18 18:00:00,27.58,16.98,1,0,0,0,0,0
1081,0.4,Beograd,5.97,19.48,28.56,19.47,1010.68,24.4,29.03,25.8,65.92,,362.0,0.6,2019-11-18 19:00:00,247.17,15.59,1,0,0,0,0,0
1082,0.37,Beograd,5.38,15.64,23.85,19.2,1011.11,22.89,27.59,23.92,68.95,,363.0,0.25,2019-11-18 20:00:00,284.46,14.99,1,0,0,0,0,0
1083,0.42,Beograd,6.81,18.72,30.28,14.0,1011.62,26.82,33.85,28.87,68.79,,364.0,0.11,2019-11-18 21:00:00,330.39,15.12,1,0,0,0,0,0
1084,0.42,Beograd,7.35,16.57,27.75,14.13,1011.77,26.25,33.41,28.56,68.84,,365.0,0.21,2019-11-18 22:00:00,295.33,14.74,1,0,0,0,0,0
1085,0.55,Beograd,6.14,15.43,24.79,16.63,1011.67,24.87,34.08,27.23,71.15,,366.0,1.14,2019-11-18 23:00:00,220.31,14.34,1,0,0,0,0,0
1086,0.47,Beograd,4.33,12.12,18.73,21.32,1011.91,23.92,32.4,26.12,70.21,,367.0,0.18,2019-11-19 00:00:00,298.89,14.54,1,0,0,0,0,0
1087,0.36,Beograd,4.01,9.6,15.71,22.76,1012.18,23.93,28.49,25.34,68.03,,368.0,0.25,2019-11-19 01:00:00,6.02,14.49,1,0,0,0,0,0
1088,0.32,Beograd,3.48,8.11,13.41,24.53,1012.08,18.31,21.85,19.51,67.71,,369.0,0.21,2019-11-19 02:00:00,306.82,14.29,1,0,0,0,0,0
1089,0.3,Beograd,3.24,5.6,10.55,30.45,1012.02,15.99,18.82,17.26,69.04,,370.0,1.71,2019-11-19 03:00:00,223.3,13.88,1,0,0,0,0,0
1090,0.28,Beograd,3.01,7.85,12.5,33.55,1011.98,13.66,16.24,14.89,69.57,,371.0,1.81,2019-11-19 04:00:00,222.79,13.79,1,0,0,0,0,0
1091,0.27,Beograd,3.31,8.39,13.44,35.87,1012.12,13.19,16.59,14.43,67.47,,372.0,1.84,2019-11-19 05:00:00,219.29,14.0,1,0,0,0,0,0
1092,0.33,Beograd,9.72,20.84,35.81,20.99,1012.6,15.34,19.05,16.7,67.95,,373.0,1.6,2019-11-19 06:00:00,223.78,13.65,1,0,0,0,0,0
